trial_type,n,mean,median,min,p01,p05,p95,p99,max
genuine,3645,0.0021706747256515775,0.0,0.0,0.0,0.0,0.0107421875,0.04150390625,0.16552734375
impostor,29160,0.5749009204335991,0.5703125,0.271484375,0.3352490234375,0.38916015625,0.7412109375,0.77978515625,0.84814453125
