device,n,mean_raw_ber_percent,std_raw_ber_percent,p05_raw_ber_percent,p95_raw_ber_percent
M1,405,0.14166184413580246,0.5330333896269123,0.0,0.634765625
M2,405,0.13900945216049382,0.5725142926010145,0.0,0.732421875
M3,405,0.060522762345679014,0.3346147974358846,0.0,0.23437499999999778
M4,405,0.31418788580246915,1.0476836201612267,0.0,1.4062499999999978
M5,405,0.27621045524691357,0.6529345936239465,0.0,1.611328125
M6,405,0.06860050154320987,0.25736500140336027,0.0,0.3320312499999978
M7,405,0.18819926697530864,0.7839069348722563,0.0,0.78125
M8,405,0.14455536265432098,0.8711809239032084,0.0,0.5664062499999956
M9,405,0.6206597222222222,1.7847977427243489,0.0,4.589843749999989
