device,n,mean_uniformity_percent,std_uniformity_percent,p05_uniformity_percent,p95_uniformity_percent
M1,405,49.912109375,0.07233434597438784,49.853515625,50.0
M2,405,50.498046875,0.06779730621446749,50.439453125,50.5859375
M3,405,50.92604648919753,0.051212291990138256,50.87890625,50.966796875
M4,405,48.45269097222222,0.11014390226084651,48.388671875,48.6328125
M5,405,50.0658275462963,0.13746401963839988,49.90234375,50.33203125
M6,405,49.51617959104938,0.041433441246786766,49.462890625,49.560546875
M7,405,48.831621334876544,0.0881822878648661,48.73046875,48.92578125
M8,405,51.31992669753087,0.10841420505295879,51.220703125,51.416015625
M9,405,51.55671296296296,0.0979665423618483,51.416015625,51.708984375
