bin_left,bin_right,bin_center,bin_width,intra_count,intra_relative_frequency_percent,intra_probability_density,inter_count,inter_relative_frequency_percent,inter_probability_density
0.59,0.6,0.595,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.6,0.61,0.605,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.61,0.62,0.615,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.62,0.63,0.625,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.63,0.64,0.635,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.64,0.65,0.645,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.65,0.66,0.655,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.66,0.67,0.665,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.67,0.68,0.675,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.68,0.6900000000000001,0.685,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.6900000000000001,0.7000000000000001,0.6950000000000001,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.7000000000000001,0.71,0.7050000000000001,0.009999999999999898,0,0.0,0.0,0,0.0,0.0
0.71,0.72,0.715,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.72,0.73,0.725,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.73,0.74,0.735,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.74,0.75,0.745,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.75,0.76,0.755,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.76,0.77,0.765,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.77,0.78,0.775,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.78,0.79,0.785,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.79,0.8,0.795,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.8,0.81,0.805,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.81,0.8200000000000001,0.8150000000000001,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.8200000000000001,0.8300000000000001,0.8250000000000001,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.8300000000000001,0.84,0.835,0.009999999999999898,0,0.0,0.0,0,0.0,0.0
0.84,0.85,0.845,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.85,0.86,0.855,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.86,0.87,0.865,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.87,0.88,0.875,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.88,0.89,0.885,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.89,0.9,0.895,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.9,0.91,0.905,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.91,0.92,0.915,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.92,0.93,0.925,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.93,0.9400000000000001,0.935,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.9400000000000001,0.9500000000000001,0.9450000000000001,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.9500000000000001,0.96,0.9550000000000001,0.009999999999999898,0,0.0,0.0,0,0.0,0.0
0.96,0.97,0.965,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.97,0.98,0.975,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.98,0.99,0.985,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.99,1.0,0.995,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
