class,n,mean_fraction,mean_percent,std_fraction,std_percent,median_fraction,min_fraction,p95_fraction,p99_fraction,max_fraction
Intra,36000,0.004410264756944444,0.4410264756944444,0.012979503555329794,1.2979503555329794,0.00048828125,0.0,0.02197265625,0.06982421875,0.17333984375
Inter,36000,0.4994677327473958,49.94677327473958,0.008996567440863662,0.8996567440863662,0.498046875,0.4755859375,0.51611328125,0.517578125,0.5263671875
