device,enrollment_images,probe_images,qualified_probe_images,reference_uniformity_percent,probe_uniformity_mean_percent,probe_uniformity_std_percent,intra_hd_mean_percent,reliability_percent,exact_key_success_percent
M1,9,405,405,49.90234375,49.912109375,0.07233434597438784,0.14166184413580246,99.8583381558642,100.0
M2,9,405,405,50.48828125,50.498046875,0.0677973062144675,0.13900945216049382,99.8609905478395,100.0
M3,9,405,405,50.927734375,50.92604648919753,0.05121229199013824,0.060522762345679014,99.93947723765432,100.0
M4,9,405,405,48.4375,48.45269097222222,0.11014390226084655,0.31418788580246915,99.68581211419753,100.0
M5,9,405,405,50.048828125,50.06582754629629,0.13746401963839988,0.2762104552469136,99.72378954475309,100.0
M6,9,405,405,49.51171875,49.51617959104938,0.04143344124678676,0.06860050154320987,99.93139949845678,100.0
M7,9,405,405,48.828125,48.83162133487654,0.08818228786486611,0.18819926697530864,99.8118007330247,100.0
M8,9,405,405,51.318359375,51.31992669753086,0.10841420505295879,0.14455536265432098,99.85544463734568,100.0
M9,9,405,405,51.5625,51.55671296296296,0.09796654236184832,0.6206597222222222,99.37934027777777,100.0
